,SrNo,System_Date_Time,IMEI_Number,Sim_Number,SIMCOM_Manufacturing_DATE,ESP_Name,ESP_Serial_Number,ESP_ManufacturingDate,Network_Timestamp,Body_Temperature,Heart_Rate,SpO2,accX,accY,accZ,gyroX,gyroY,gyroZ,Heading,Body_Activity,Jaw_Movement,AT_Ideal_Temperature,Location,Battery,Device_Status,Network_Timestamp,"Body_Activity
1- standing
0- sitting","Jaw_Movement
0- feeding
1- Head Move
2- Idle
3- Rumination"
1864,30849,2024-09-10 15:25:56,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:25:50",41.2,0,98.68,9.68,-0.43,1.17,-0.14,-0.04,-0.04,E,Standing,1,37.865,"28.535842,77.567700",100,0,"24/09/10,15:25:50",1,2
1865,30850,2024-09-10 15:27:07,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:27:01",41.37,0,98.34,10.06,-0.12,-0.3,-0.01,0,-0.01,E,Standing,2,37.865,"28.535815,77.567802",100,0,"24/09/10,15:27:01",1,2
1866,30851,2024-09-10 15:29:27,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:29:22",41.32,0,98.78,9.75,-1.93,0.51,-0.02,0.03,0.02,E,Standing,3,37.865,"28.535862,77.567803",100,0,"24/09/10,15:29:22",1,2
1867,30852,2024-09-10 15:30:37,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:30:33",41.12,0,98.38,9.9,-0.15,0.63,-0.06,0,0.02,E,Standing,2,37.865,"28.535807,77.567783",100,0,"24/09/10,15:30:33",1,2
1868,30853,2024-09-10 15:31:49,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:31:43",41.12,0,98.73,9.93,-0.82,0.32,0.02,0.01,0.02,E,Standing,2,37.865,"28.535835,77.567862",100,0,"24/09/10,15:31:43",1,2
1869,30854,2024-09-10 15:32:59,862211073312019120027,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:32:54",41.23,0,92.25,9.89,-1.47,0.51,-0.05,-0.03,0.01,E,Standing,1,37.865,"28.535852,77.567840",100,0,"24/09/10,15:32:54",1,2
1870,30855,2024-09-10 15:34:08,862211073312019120027,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:34:04",41.3,0,98.7,9.94,-0.3,0.75,-0.07,0.01,0.01,E,Standing,2,37.865,"28.535805,77.567783",100,0,"24/09/10,15:34:04",1,2
1871,30856,2024-09-10 15:35:19,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:35:15",41.27,0,98.84,9.84,-0.32,0.84,-0.08,0.04,0.02,E,Standing,2,37.865,"28.535758,77.567773",100,0,"24/09/10,15:35:15",1,2
1872,30857,2024-09-10 15:36:29,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:36:25",41.19,0,98.79,9.86,-1.21,0.56,-0.08,0.01,0.03,E,Standing,2,37.865,"28.535758,77.567773",100,0,"24/09/10,15:36:25",1,2
1873,30858,2024-09-10 15:37:39,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:37:35",41.27,0,98.81,9.86,-1.13,0.74,-0.06,0,0.02,E,Standing,2,37.865,"28.535823,77.567915",100,0,"24/09/10,15:37:35",1,2
1874,30859,2024-09-10 15:38:50,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:38:46",41.45,0,98.78,9.86,-0.43,0.82,-0.06,0.01,-0.02,E,Standing,2,37.865,"28.535863,77.567913",100,0,"24/09/10,15:38:46",1,2
1875,30860,2024-09-10 15:40:00,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:39:56",41.4,0,99.41,9.89,-0.36,0.73,-0.04,0.02,0.02,E,Standing,2,37.865,"28.535863,77.567913",100,0,"24/09/10,15:39:56",1,2
1876,30861,2024-09-10 15:41:13,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:41:07",41.45,0,99.48,9.91,-0.79,0.42,-0.06,0.01,0.01,E,Standing,2,37.865,"28.535863,77.567913",100,0,"24/09/10,15:41:07",1,2
1877,30862,2024-09-10 15:42:23,862211073312019120027,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:42:17",41.47,0,99.48,9.88,-0.35,0.8,-0.06,0.01,0.03,E,Standing,2,37.865,"28.535863,77.567913",100,0,"24/09/10,15:42:17",1,2
1878,30863,2024-09-10 15:43:31,862211073312019120027,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:43:27",41.62,0,95.57,9.72,-0.33,1.5,-0.19,0.08,-0.06,E,Standing,2,37.865,"28.535868,77.567877",100,0,"24/09/10,15:43:27",1,2
1879,30864,2024-09-10 15:44:42,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:44:38",41.88,0,98.58,9.87,-0.27,0.98,-0.02,0.01,0.02,E,Standing,2,37.865,"28.535873,77.567883",100,0,"24/09/10,15:44:38",1,2
1880,30865,2024-09-10 15:45:52,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:45:48",41.65,0,89.31,9.99,-1.53,-0.21,0.04,0.02,0.04,E,Standing,2,37.865,"28.535873,77.567883",100,0,"24/09/10,15:45:48",1,2
1881,30866,2024-09-10 15:47:05,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:46:59",41.61,0,93.31,9.63,-2.55,-1.68,-0.19,0.05,0.2,E,Standing,2,37.865,"28.535853,77.567818",100,0,"24/09/10,15:46:59",1,2
1882,30867,2024-09-10 15:48:13,862211073312019,Y: 1,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:48:09",41.54,0,89.08,9.47,2.15,2.31,-0.27,-0.13,0.03,E,Standing,3,37.865,"28.535853,77.567818",100,0,"24/09/10,15:48:09",1,2
1883,30868,2024-09-10 15:49:24,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:49:19",41.73,0,95.34,9.72,-1.38,1.28,0,-0.03,0.01,E,Standing,1,37.865,"28.535887,77.567865",100,0,"24/09/10,15:49:19",1,2
1884,30869,2024-09-10 15:50:34,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:50:30",41.96,0,96.73,10,-1.48,-0.96,-0.16,-0.03,0.02,E,Standing,1,37.865,"28.535870,77.567825",100,0,"24/09/10,15:50:30",1,2
1885,30870,2024-09-10 15:51:52,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:51:40",42.11,0,93.88,9.5,-1.22,2.24,0.3,-0.07,0.05,E,Standing,1,37.865,"28.535870,77.567825",100,0,"24/09/10,15:51:40",1,2
1886,30871,2024-09-10 15:52:55,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:52:51",41.56,0,88.25,7.68,0.05,1.35,-0.1,0.12,-0.05,NE,Standing,2,37.865,"28.535830,77.567737",100,0,"24/09/10,15:52:51",1,0
1887,30872,2024-09-10 15:54:10,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:54:00",41.32,0,88.01,9.41,0.16,2.37,-0.07,-0.04,0,E,Standing,3,37.865,"28.535870,77.567845",100,0,"24/09/10,15:54:00",1,2
1888,30873,2024-09-10 15:55:17,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:55:10",41.17,0,88.79,9.63,0.24,1.98,-0.1,-0.01,-0.01,E,Standing,1,37.865,"28.535870,77.567845",100,0,"24/09/10,15:55:10",1,2
1889,30874,2024-09-10 15:56:31,862211073312019120027,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:56:21",41.14,0,88.7,9.57,0.93,1.97,0.17,-0.17,0,E,Standing,1,37.865,"28.535870,77.567845",100,0,"24/09/10,15:56:21",1,2
1890,30875,2024-09-10 15:57:36,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:57:31",41.13,0,88.04,9.61,2.11,1.76,-1,0.06,-0.26,E,Standing,1,37.865,"28.535870,77.567845",100,0,"24/09/10,15:57:31",1,2
1891,30876,2024-09-10 15:58:47,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:58:42",41.25,0,87.8,9.8,-0.5,1.75,-0.18,-0.04,-0.03,E,Standing,1,37.865,"28.535870,77.567845",100,0,"24/09/10,15:58:42",1,2
1892,30877,2024-09-10 15:59:57,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,15:59:52",41.48,0,89.35,9.31,1.23,2.55,-0.09,0.01,0.02,E,Standing,3,37.865,"28.535870,77.567845",100,0,"24/09/10,15:59:52",1,2
1893,30878,2024-09-10 16:01:07,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:01:02",41.55,0,87.84,9.26,1.62,2.25,-0.01,0.01,0.02,E,Standing,3,37.865,"28.535870,77.567845",100,0,"24/09/10,16:01:02",1,2
1894,30879,2024-09-10 16:02:18,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:02:13",41.4,0,87.87,8.93,1.35,3.53,-0.05,0.02,0.02,E,Standing,3,37.865,"28.535870,77.567845",100,0,"24/09/10,16:02:13",1,2
1895,30880,2024-09-10 16:03:29,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:03:23",41.41,0,98.01,9.98,-0.78,-0.05,-0.05,-0.01,0,E,Standing,2,37.865,"28.535870,77.567845",100,0,"24/09/10,16:03:23",1,0
1896,30881,2024-09-10 16:04:39,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:04:34",41.53,0,89.87,9.15,2.06,2.34,0.13,0,-0.02,E,Standing,3,37.865,"28.535870,77.567845",100,0,"24/09/10,16:04:34",1,
1897,30882,2024-09-10 16:05:49,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:05:44",41.73,0,88.81,7.29,3.55,4.7,-0.07,-0.02,0.03,E,Standing,3,37.865,"28.535870,77.567845",100,0,"24/09/10,16:05:44",1,0
1898,30883,2024-09-10 16:06:59,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:06:55",41.73,0,88.63,8.04,1.76,4.78,-0.22,0.11,0.03,E,Standing,3,37.865,"28.535870,77.567845",100,0,"24/09/10,16:06:55",1,2
1899,30884,2024-09-10 16:08:10,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:08:05",41.69,0,88.73,6.77,1.08,6.11,-0.05,0.02,0.06,E,Standing,3,37.865,"28.535870,77.567845",100,0,"24/09/10,16:08:05",1,2
1900,30885,2024-09-10 16:09:20,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:09:16",41.63,0,88.44,5.55,0.23,6.94,-0.41,-0.13,-0.21,E,Standing,0,37.865,"28.535870,77.567845",100,0,"24/09/10,16:09:16",1,2
1901,30886,2024-09-10 16:10:31,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:10:26",41.34,0,88.92,3.15,2.74,7.97,-0.06,0.04,0.03,E,Standing,2,37.865,"28.535793,77.567793",100,0,"24/09/10,16:10:26",1,2
1902,30887,2024-09-10 16:11:41,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:11:36",40.6,0,89.64,3.46,6.84,5.17,-0.03,0.02,0.01,E,Standing,3,37.865,"28.535793,77.567793",100,0,"24/09/10,16:11:36",1,2
1903,30888,2024-09-10 16:12:52,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:12:47",40.68,0,89.15,4.86,3.19,7.24,-0.23,0.07,0.19,E,Standing,3,37.865,"28.535793,77.567793",100,0,"24/09/10,16:12:47",1,2
1904,30889,2024-09-10 16:14:03,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:13:57",40.44,0,89.37,6.64,1.58,7.11,-0.38,-0.17,-0.55,NE,Standing,1,37.865,"28.535790,77.567847",100,0,"24/09/10,16:13:57",1,2
1905,30890,2024-09-10 16:15:12,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:15:08",40.88,0,89.23,4.59,-0.02,7.67,-0.05,0.05,0.07,E,Standing,3,37.865,"28.535790,77.567847",100,0,"24/09/10,16:15:08",1,2
1906,30891,2024-09-10 16:16:22,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:16:18",39.82,0,90.17,-1.71,5.33,7.23,-0.12,-0.06,0.23,E,Standing,1,37.865,"28.535790,77.567847",100,0,"24/09/10,16:16:18",1,2
1907,30892,2024-09-10 16:17:33,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:17:29",40.09,0,88.05,1.83,1.96,8.29,0.07,0.05,0.08,E,Standing,2,37.865,"28.535790,77.567847",100,0,"24/09/10,16:17:29",1,2
1908,30893,2024-09-10 16:18:43,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:18:39",39.81,0,88.47,1.44,1.94,8.49,0.02,0.01,0.05,E,Standing,2,37.865,"28.535782,77.567828",100,0,"24/09/10,16:18:39",1,2
1909,30894,2024-09-10 16:19:54,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:19:50",39.81,0,89.37,1.08,1.87,8.45,-0.1,0,0,E,Standing,2,37.865,"28.535782,77.567828",100,0,"24/09/10,16:19:50",1,2
1910,30895,2024-09-10 16:21:04,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:21:00",39.93,0,91.82,1.49,1.33,8.56,-0.03,0.02,0,E,Standing,2,37.865,"28.535782,77.567828",100,0,"24/09/10,16:21:00",1,2
1911,30896,2024-09-10 16:22:15,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:22:10",40.27,0,91.13,4.47,0.01,7.79,0.13,0.08,0.33,NE,Standing,1,37.865,"28.535782,77.567828",100,0,"24/09/10,16:22:10",1,2
1912,30897,2024-09-10 16:23:25,,Unknown,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:23:21",40.25,0,88.82,2.4,2.84,7.38,-0.76,0.29,0.08,NE,Standing,3,37.865,"28.535782,77.567828",100,0,"24/09/10,16:23:21",1,2
1913,30898,2024-09-10 16:24:35,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:24:31",40.29,0,90.32,6.36,0.35,6.85,-0.07,0,0.02,E,Standing,3,37.865,"28.535782,77.567828",100,0,"24/09/10,16:24:31",1,2
1914,30899,2024-09-10 16:25:46,862211073312019,8991102405903415305,A7672S-LASC,ESP32-D0WD Rev 301,15269688,2024,"24/09/10,16:25:42",40.15,0,93.74,4.36,2.59,6.66,-0.26,0.08,0.3,NE,Standing,3,37.865,"28.535782,77.567828",100,0,"24/09/10,16:25:42",1,2
